index,pcode,mfg,racquet,headsize,length,weight,balance,swingweight,flex,acor,sweet,rccode,current,twistweight,hittingweight,vibration,filter,distance,spin,angle,shotspeed,swingspeed,plow,time
283,98EZPB,Yonex,EZONE 98+ (305g) Blue,98,27.5,323,33.5,336,64,0.319,17.0,RCYONEX,x,13.8,134,140,21/2-effort,66.0,1498,2.9,66.1,49.1,43,0.83
284,PG100,Prince,Classic Graphite 100 Longbody,100,28.0,329,33.0,339,61,0.319,16.5,RCPRINCE,x,13.5,134,130,21/2-effort,65.9,1494,2.9,66.0,49.0,43,0.83
285,VC98P,Yonex,VCORE 98+,98,27.5,323,33.5,340,64,0.323,17.1,RCYONEX,x,13.9,135,139,21/2-effort,65.9,1494,2.9,66.3,49.0,43,0.82
286,CSV1HP,Yonex,VCore SV 100+,100,27.5,308,33.8,339,70,0.326,17.8,RCYONEX,x,14.6,136,152,21/2-effort,66.2,1502,2.8,66.7,49.2,43,0.82
287,U95CV,Wilson,Ultra 95 Countervail,95,27.24,326,33.5,339,69,0.325,17.8,RCWILSON,x,14.3,136,155,21/2-effort,65.9,1493,2.9,66.4,48.9,43,0.82
289,VC1HP,Yonex,VCORE 100+,100,27.5,318,34.0,341,68,0.327,17.7,RCYONEX,x,14.3,137,149,21/2-effort,65.9,1492,2.8,66.5,48.9,43,0.82
290,CX2HP,Dunlop,Srixon CX 200+,98,27.5,323,33.0,340,66,0.328,17.9,RCDUNLOP,x,14.7,137,149,21/2-effort,66.1,1497,2.8,66.7,49.0,43,0.82
291,B95CV,Wilson,Burn 95 Countervail,95,27.25,334,33.5,350,70,0.336,19.1,RCWILSON,x,14.6,140,155,21/2-effort,65.5,1476,2.7,66.6,48.6,44,0.81
292,BSTP10,Prince,Textreme Beast Pro 100 LB,100,27.5,340,32.0,351,67,0.338,18.9,RCTWABG,x,14.9,141,145,21/2-effort,65.7,1482,2.7,66.9,48.7,44,0.81
293,330VD7,Yonex,VCORE Pro 97H,97,27.0,349,32.0,343,61,0.336,18.0,RCYONEX,x,15.4,140,127,21/2-effort,65.8,1486,2.7,66.9,48.8,44,0.82
294,HROSL,Head,Radical Oversize Ltd.,107,27.0,340,32.5,334,64,0.331,17.8,RCHEAD,x,16.0,138,139,21/2-effort,66.1,1497,2.8,66.9,49.0,44,0.82
295,TRTFIR,Tecnifibre,TFight 305 RS,98,27.0,323,33.5,333,67,0.329,17.7,RCTFUSA,x,15.8,137,143,21/2-effort,66.2,1501,2.8,66.9,49.1,43,0.82
299,BPATR,Babolat,Pure Aero Tour,100,27.0,341,32.6,332,68,0.327,17.7,RCBABOLAT,x,15.6,137,147,21/2-effort,66.1,1498,2.8,66.6,49.1,43,0.82
300,PS182,Babolat,Pure Strike 18x20 3rd Gen,98,27.0,323,33.0,334,66,0.326,17.5,RCBABOLAT,x,15.1,136,141,21/2-effort,66.3,1504,2.8,66.7,49.2,43,0.82
301,PSYNG,Prince,Synergy 98,98,27.0,323,33.0,334,60,0.325,17.5,RCTWABG,x,15.1,136,139,21/2-effort,66.2,1504,2.8,66.7,49.2,43,0.82
302,SX300T,Dunlop,SX300 Tour,100,27.0,332,32.5,336,65,0.329,17.7,RCDUNLOP,x,15.4,137,146,21/2-effort,66.2,1500,2.8,66.8,49.1,43,0.82
303,HDPT2,Head,Pro Tour 2.0,98,27.0,343,32.5,335,65,0.326,17.5,RCHEAD,x,14.9,136,136,21/2-effort,65.9,1494,2.8,66.5,49.0,43,0.82
305,B104CV,Wilson,Blade SW 104,104,28.0,319,33.5,334,67,0.323,17.0,RCWILSON,x,14.7,135,144,21/2-effort,66.2,1503,2.9,66.5,49.2,43,0.83
306,YE98P2,Yonex,EZONE 98+,98,27.5,323,33.2,334,64,0.32,17.1,RCYONEX,x,14.2,134,142,21/2-effort,66.2,1502,2.9,66.3,49.2,43,0.83
317,DR1HPB,Yonex,Ezone DR 100+ Blue,100,27.5,314,33.5,332,70,0.319,17.3,RCYONEX,x,14.3,134,156,21/2-effort,66.3,1508,2.9,66.4,49.3,43,0.83
318,VC9330,Yonex,VCORE Pro 97 (330),97,27.0,349,32.0,332,65,0.322,17.1,RCYONEX,x,14.8,135,136,21/2-effort,66.0,1497,2.9,66.3,49.0,43,0.83
320,YEZ98T,Yonex,EZONE 98 Tour,98,27.0,332,33.0,330,62,0.32,17.1,RCYONEX,x,14.7,134,141,21/2-effort,66.2,1502,2.9,66.3,49.2,43,0.83
321,320HD7,Yonex,VCORE Pro 97D,97,27.0,340,32.0,330,61,0.322,17.7,RCYONEX,x,15.1,135,125,21/2-effort,66.3,1505,2.9,66.5,49.2,43,0.83
322,H360EM,Head,Graphene 360 Extreme MP,100,27.0,318,33.5,328,63,0.32,16.4,RCHEAD,x,15.1,134,140,21/2-effort,66.4,1510,2.9,66.5,49.3,43,0.83
